variable,level,metric,n,median,iqr,p5,p95,min,max
rpm,600.0,thrust_N,3,5.7469,0.9704499999999996,4.7056000000000004,6.45241,4.5899,6.5308
rpm,600.0,power_W,3,27.11,7.190000000000001,20.306,33.248,19.55,33.93
rpm,600.0,fom,3,0.3626,0.005899999999999961,0.35540000000000005,0.36602,0.3546,0.3664
rpm,600.0,CT,3,0.0469134693877551,0.007922040816326525,0.03841306122448979,0.052672734693877545,0.03746857142857143,0.053312653061224485
rpm,600.0,CP,3,0.02213061224489796,0.00586938775510204,0.016576326530612247,0.027141224489795918,0.01595918367346939,0.02769795918367347
rpm,600.0,PLnorm,3,2.119845075617853,0.2114943056375278,1.9442921998694775,2.324981950017028,1.9247863247863246,2.3477749360613807
rpm,750.0,thrust_N,3,8.9847,1.5109000000000012,7.3633500000000005,10.08297,7.1832,10.205
rpm,750.0,power_W,3,52.78,14.030000000000001,39.522999999999996,64.777,38.05,66.11
rpm,750.0,fom,3,0.3648,0.006150000000000044,0.35642999999999997,0.3675,0.3555,0.3678
rpm,750.0,CT,3,0.046940473469387754,0.007893681632653061,0.038469746938775515,0.052678373877551025,0.03752855510204082,0.05331591836734694
rpm,750.0,CP,3,0.022059885714285715,0.0058639673469387775,0.01651900081632653,0.02707414204081633,0.015903346938775507,0.027631281632653062
rpm,750.0,PLnorm,3,2.1278656688139446,0.21512025710344984,1.9493808793908485,2.3365973421770585,1.9295492361216156,2.3597897503285155
rpm,900.0,thrust_N,3,12.945,2.17605,10.60473,14.52162,10.3447,14.6968
rpm,900.0,power_W,3,91.01,24.254999999999995,68.06,111.719,65.51,114.02
rpm,900.0,fom,3,0.3661,0.006350000000000022,0.35719,0.36862,0.3562,0.3689
rpm,900.0,CT,3,0.046965986394557825,0.007894965986394553,0.03847521088435374,0.05268614965986394,0.03753179138321995,0.05332172335600907
rpm,900.0,CP,3,0.0220130007558579,0.005866666666666666,0.016461980347694635,0.027021980347694634,0.01584520030234316,0.027578533635676493
rpm,900.0,PLnorm,3,2.133556752005274,0.21760168439171057,1.9534609198944408,2.34514395179952,1.933450271882126,2.368653640665547
rpm,1050.0,thrust_N,3,17.628,2.9507499999999993,14.45739,19.768739999999998,14.1051,20.0066
rpm,1050.0,power_W,3,144.29,38.505000000000024,107.84899999999999,177.158,103.8,180.81
rpm,1050.0,fom,3,0.3679,0.006500000000000006,0.35791,0.36961,0.3568,0.3698
rpm,1050.0,CT,3,0.0469884214910454,0.00786538942107455,0.03853698292378176,0.05269468388171595,0.037597934194085796,0.0533287130362349
rpm,1050.0,CP,3,0.021977890164812275,0.005864984827750337,0.016427288629737608,0.02698426131968822,0.015810555125840422,0.027540524781341103
rpm,1050.0,PLnorm,3,2.1379860004158298,0.22082751074723816,1.9565337916792136,2.354023311024242,1.936372435152923,2.378027456647399
rpm,1200.0,thrust_N,3,23.0337,3.842399999999998,18.90729,25.823610000000002,18.4488,26.1336
rpm,1200.0,power_W,3,215.12,57.42999999999998,160.769,264.143,154.73,269.59
rpm,1200.0,fom,3,0.3692,0.006650000000000045,0.3584,0.37037,0.3572,0.3705
rpm,1200.0,CT,3,0.047007551020408156,0.007841632653061224,0.03858630612244897,0.05270124489795918,0.03765061224489795,0.053333877551020405
rpm,1200.0,CP,3,0.021951020408163265,0.005860204081632653,0.016405,0.026953367346938772,0.015788775510204082,0.027509183673469384
rpm,1200.0,PLnorm,3,2.1414745258460393,0.22293897212430425,1.9590370998267126,2.36032724965046,1.938766274713454,2.3846442189620625
pitch,0.3,thrust_N,5,10.3447,6.9219,5.10856,17.58006,4.5899,18.4488
pitch,0.3,power_W,5,65.51,65.75,23.25,144.54399999999998,19.55,154.73
pitch,0.3,fom,5,0.3661,0.0030999999999999917,0.36304,0.36894,0.3626,0.3692
pitch,0.3,CT,5,0.03753179138321995,6.937909204497716e-05,0.0374805681632653,0.037640076634735516,0.03746857142857143,0.03765061224489795
pitch,0.3,CP,5,0.01584520030234316,9.279181293508562e-05,0.01579313143333135,0.015948016326530614,0.015788775510204082,0.01595918367346939
pitch,0.3,PLnorm,5,2.368653640665547,0.01823770631888344,2.3501778989148074,2.3833208664991297,2.3477749360613807,2.3846442189620625
pitch,0.4,thrust_N,5,12.945,8.6433,6.3944600000000005,21.95256,5.7469,23.0337
pitch,0.4,power_W,5,91.01,91.50999999999999,32.244,200.95399999999998,27.11,215.12
pitch,0.4,fom,5,0.3689,0.0020000000000000018,0.36668,0.37036,0.3664,0.3705
pitch,0.4,CT,5,0.046965986394557825,4.7948021657646944e-05,0.04691887020408163,0.047003725114535606,0.0469134693877551,0.047007551020408156
pitch,0.4,CP,5,0.0220130007558579,8.199554947344034e-05,0.021956394359493068,0.02211646693877551,0.021951020408163265,0.02213061224489796
pitch,0.4,PLnorm,5,2.133556752005274,0.01012033160188519,2.1214491942570715,2.1407768207599975,2.119845075617853,2.1414745258460393
pitch,0.5,thrust_N,5,14.6968,9.801599999999999,7.26564,24.9082,6.5308,26.1336
pitch,0.5,power_W,5,114.02,114.7,40.366,251.83399999999997,33.93,269.59
pitch,0.5,fom,5,0.3562,0.0013000000000000234,0.35478000000000004,0.35712,0.3546,0.3572
pitch,0.5,CT,5,0.05332172335600907,1.279466888795544e-05,0.05331330612244898,0.0533328446480633,0.053312653061224485,0.053333877551020405
pitch,0.5,CP,5,0.027578533635676493,9.075685131195929e-05,0.027515451895043726,0.02768462367346939,0.027509183673469384,0.02769795918367347
pitch,0.5,PLnorm,5,1.933450271882126,0.006823199031307459,1.9257389070533828,1.9382875068013479,1.9247863247863246,1.938766274713454
